Date, 13021 - Export of goods - Sao Paulo - US $ (thousand), 13022 - Import of goods - Sao Paulo - US $ (thousand), 13023 - Balance of trade balance - Sao Paulo - USD $ (thousand), 14026 - Balance of credit operations of the National Financial System - Sao Paulo - Individuals - R$ (million), 14053 - Balance of credit operations of the National Financial System - Sao Paulo - Legal entities - R$ (million), 14080 - Balance of credit operations of the National Financial System - Sao Paulo - Total - R$ (million), 15885 - Default rate of credit operations of the National Financial System - Sao Paulo - Individuals -%, 15917 - Default rate of credit operations of the National Financial System - Sao Paulo - Legal entities -%, 15949 - Default rate of credit operations of the National Financial System - Sao Paulo - Total -%, "CP.1-2Q ..... 46 popular house, 1 floor, balcony, living room, 2 bedrooms, circulation, bathroom and kitchen "," CP.1-2Q ..... 40 Popular house, 1 floor, s wing, 2 bedrooms, circulation, bathroom and kitchen "," CR.1-2Q ..... 62 Residential house, 1 floor, balcony, living room, 2 bedrooms, circulation, bathroom, kitchen, service area, bedroom and WC de maid "," CR.1-3Q .... 104 Residential house, 1 floor, balcony, living room, 3 bedrooms, circulation, bathroom, toilet, kitchen, service area, maid's room and toilet "," CR. 1-4Q .... 122 Residential house, 1 floor, balcony, living room, 4 bedrooms, circulation, 2 bathrooms, kitchen, laundry area, maid's room and toilet "," CP.1-1Q ..... 30 Popular house, 1 floor, living room, 1 bedroom, circulation, bathroom and kitchen "," CP.2-3Q ..... 56 Popular house, 2 floors, living room, 3 bedrooms, circulation, bathroom and kitchen "," CR.2-2Q ..... 81 Residential house, semi-detached, 2 floors, living room, 2 bedrooms, circulation, bathroom, kitchen, service area, maid's room and toilet "," Table 254 - Number of informants and Quantity stocked on the last day of the semester, by products, type of company property and type of activity of the establishment ", 4345 - Revenue from states and municipalities (Flows) - Collection of ICMS - Sao Paulo - u.m.c. (thousand), 4372 - Revenue from states and municipalities (Flows) - Transfers from the Union - Sao Paulo - u.m.c. (thousand), 7640 - Collection of ICMS (Flows) - Primary sector - Sao Paulo - u.m.c. (thousand), 7651 - Collection of ICMS (Flows) - Secondary sector - Sao Paulo - u.m.c. (thousand), 7662 - Collection of ICMS (Flows) - Tertiary sector - Sao Paulo - u.m.c. (thousand), 7673 - Collection of ICMS (Flows) - Energy - Sao Paulo - u.m.c. (thousand), 7684 - Collection of ICMS (Flows) - Petroleum - Sao Paulo - u.m.c. (thousand), 7695 - Collection of ICMS (Flows) - Other sources - Sao Paulo - u.m.c. (thousand), Infant Mortality, 3653 - General industry, 3653 - Extractive industries, 3653 - Transformation industries, 3653 - Food products manufacturing, 3653 - Beverages manufacturing, "20128 - Retail sales volume index - Pharmaceutical articles, medical, orthopedic, perfumery and cosmetics - Sao Paulo - Index "," 20129 - Retail sales volume index - Books, newspapers, magazines and stationery - Sao Paulo - Index "," 20130 - Retail sales volume index - Office, computer and communication equipment and supplies - Sao Paulo - Index ", 20131 - Retail sales volume index - Other articles for personal and domestic use - Sao Paulo - Index, 20132 - Retail sales volume index - Construction material - Sao Paulo - Index, 20133 - Retail sales volume index - Total expanded trade - São Paulo - Index, 21925 - Industrial production (2012 = 100) - General - Sao Paulo - Index, 28311 - Index formal employment - Sao Paulo - Index, 7427 - Salaried employed persons (Jan / 2001 = 100) - Sao Paulo - Index, 10782 - Unemployment rate - Metropolitan region - Sao Paulo (in the week) -%, 12832 - Economically active population - Metropolitan area of Sao Paulo - Units (thousand ), 12835 - Employed population - Metropolitan Region of Sao Paulo - Units (thousand), 12839 - Unemployed population - Metropolitan Region of Sao Paulo - Units (thousand), 12841 - Average real effective income of employed persons - Metropolitan Region of Sao Paulo - R$, 12867 - Formal jobs generated - Sao Paulo - Units, 13024 - Extended National Consumer Price Index - monthly variation - Sao Paulo -%, 13025 - National Consumer Price Index - monthly variation - Sao Paulo -%, 1475 - Retail sales volume index - Total - Sao Paulo - Index, 1490 - Retail sales volume index - Fuels and lubricants - Sao Paulo - Index, "1503 - Retail sales volume index - Hypermarkets, supermarkets, food products, beverages and tobacco - Sao Paulo - Index "," 1516 - Retail sales volume index - Fabrics, clothing and footwear - Sao Paulo - Index ", 1529 - Retail sales volume index - Furniture and household appliances - Sao Paulo - Index , "1555 - Retail sales volume index - Cars, motorcycles, parts and pieces - Sao Paulo - Index", 1568 - Retail sales volume index - Hypermarkets and supermarkets - Sao Paulo - Index, 28035 - PMS - Service volume index - Total - Sao Paulo - seasonally adjusted - Index, Total evolution of job terminations, Total evolution of job admissions, Nominal Sales - retail - seasonally adjusted index 2014, Real sales - retail - seasonally adjusted index 2014, 25394 - Regional Economic Activity Index - Sao Paulo - seasonally adjusted - Index, Consumption - electricity - Southeast Region (SE) - amount. - GWh - Eletrobras - ELETRO12_CEESE12 -, Table 6588 - Planted Area (Hectare), Table 6588 - Harvested Area (Hectare), Sugar spot price R $ (CEPEA / ESALQ crystal sugar indicator - Sao Paulo), Sugar spot price USD (CEPEA / ESALQ Crystal Sugar Indicator - Sao Paulo), Arabica Coffee Indicator CEPEA / ESALQ R$, Arabica Coffee Indicator CEPEA / ESALQ USD , Chicken CEPEA / ESALQ Frozen Chicken Prices - SP State, Fat Cattle CEPEA Indicator / B3
0,CEXT1,CEXT2,CEXT3,CRED1,CRED2,CRED3,CRED4,CRED5,CRED6,CCIVIL1,CCIVIL2,CCIVIL3,CCIVIL4,CCIVIL5,CCIVIL6,CCIVIL7,CCIVIL8,AGRO1,IMPEINFLA1,IMPEINFLA2,IMPEINFLA3,IMPEINFLA4,IMPEINFLA5,RECNATU1,RECNATU2,IMPEINFLA6,SOC1,IND1,IND2,IND3,IND4,IND5,COMERCIO1,COMERCIO2,COMERCIO3,COMERCIO4,COMERCIO5,COMERCIO6,IND6,SOC2,SOC3,SOC4,SOC5,SOC6,SOC7,SOC8,SOC9,IMPEINFLA7,IMPEINFLA8,COMERCIO7,COMERCIO8,COMERCIO9,COMERCIO10,COMERCIO11,COMERCIO12,COMERCIO13,COMERCIO14,SOC10,SOC11,COMERCIO15,COMERCIO16,GDP,RECNATU3,AGRO1,AGRO2,AGRO3,AGRO4,AGRO5,AGRO6,AGRO7,AGRO8
1/1/1989,985999,524551,461448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,959",0,0,0,0,0,0,0,0
2/1/1989,874221,520500,353721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,238",0,0,0,0,0,0,0,0
3/1/1989,1034191,502239,531952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,383",0,0,0,0,0,0,0,0
4/1/1989,753007,347199,405809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,604",0,0,0,0,0,0,0,0
5/1/1989,903281,535880,367401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,860",0,0,0,0,0,0,0,0
6/1/1989,1399965,674432,725533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,300",0,0,0,0,0,0,0,0
7/1/1989,1065569,602302,463267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.64,26.49,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,533",0,0,0,0,0,0,0,0
8/1/1989,1085160,822662,262498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,31.78,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,365",0,0,0,0,0,0,0,0
9/1/1989,926846,712306,214540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.53,36.23,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,250",0,0,0,0,0,0,0,0
10/1/1989,974976,731776,243200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.37,39.31,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,540",0,0,0,0,0,0,0,0
11/1/1989,975864,744096,231768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.15,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,826",0,0,0,0,0,0,0,0
12/1/1989,1061559,771127,290432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.18,50.83,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,268",0,0,0,0,0,0,0,0
1/1/1990,871975,711951,160025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.33,67.66,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,458",0,0,0,0,0,0,0,0
